revealing,pickup_x,pickup_y,dropoff_x,dropoff_y,order,pickup_lateness,delivery_lateness,pk_node_id,dl_node_id,sl_class,id
2017-10-10 00:07,4.351568,52.006481,4.353978,51.984564,A=5,300,600,44827059,1934419111,C,
2017-10-10 00:17,4.350208,51.996671,4.359300,51.998343,A=4,300,600,1571090664,100302898,C,
2017-10-10 00:24,4.373286,52.010006,4.347923,52.012532,A=2,300,600,44843629,44854736,B,
2017-10-10 00:31,4.356589,51.990437,4.344141,51.994300,A=1,300,600,44755694,1679761155,B,
2017-10-10 00:36,4.342676,52.001652,4.352731,51.993696,A=1,300,600,1413910876,1571088224,B,
2017-10-10 00:46,4.346927,52.017268,4.343244,51.980600,A=1,300,600,4572922022,1566353670,B,
2017-10-10 00:54,4.363139,51.984796,4.346897,51.983575,A=4,300,600,44729070,1448535795,B,
2017-10-10 01:01,4.363788,51.986646,4.351777,52.002376,A=5,300,600,267538410,44809466,B,
2017-10-10 01:09,4.335520,51.988749,4.342676,52.001652,A=2,300,600,1608998316,1413910876,A,
2017-10-10 01:16,4.350056,51.981020,4.347887,51.980516,A=2,300,600,1830076498,1448535752,A,
