revealing,pickup_x,pickup_y,dropoff_x,dropoff_y,order,pickup_lateness,delivery_lateness,pk_node_id,dl_node_id,sl_class,id
2017-10-10 00:00,4.340186,51.988409,4.366815,51.985305,A=5,300,600,1608998297,1402734468,C,
2017-10-10 00:00,4.353299,52.001702,4.369715,52.013839,A=5,300,600,4217813217,44859971,C,
2017-10-10 00:00,4.344930,51.996721,4.342201,51.980989,A=3,300,600,3452839336,1566353714,C,
2017-10-10 00:00,4.363820,51.985612,4.362816,51.988860,A=3,300,600,44733393,1402734739,C,
2017-10-10 00:01,4.355263,51.999517,4.336645,51.985975,A=2,300,600,620834410,1608998181,B,
2017-10-10 00:01,4.337938,51.991647,4.361627,51.985254,A=1,300,600,1568976292,1667696850,B,
2017-10-10 00:02,4.344576,51.992260,4.356017,52.017548,A=4,300,600,44763544,44874703,B,
2017-10-10 00:03,4.340280,52.013091,4.355705,52.025314,A=4,300,600,1449050797,2162556055,B,
2017-10-10 00:03,4.338005,51.993061,4.347118,51.978235,A=2,300,600,44768025,1518087729,B,
2017-10-10 00:04,4.367492,51.991846,4.351064,52.007353,A=3,300,600,1391531482,1436435623,B,
2017-10-10 00:05,4.373850,52.012622,4.363340,52.028020,A=1,300,600,2558916191,1402613340,B,
2017-10-10 00:05,4.355324,52.010005,4.357640,51.987321,A=3,300,600,5124546089,44740925,B,
2017-10-10 00:06,4.347448,51.994737,4.360498,51.981306,A=2,300,600,1571088417,44711989,B,
2017-10-10 00:06,4.376279,51.988240,4.352257,52.008424,A=2,300,600,1433962966,44836967,B,
2017-10-10 00:07,4.362429,52.027560,4.364940,52.003833,A=1,300,600,1402613311,44814118,B,
2017-10-10 00:08,4.360297,52.007439,4.352828,52.009343,A=5,300,600,2408303441,44840841,B,
2017-10-10 00:08,4.382254,51.994377,4.368819,52.012009,A=4,300,600,1402735015,3669138201,A,
2017-10-10 00:08,4.357441,52.013478,4.356443,52.018842,A=3,300,600,44858832,1371031530,A,
2017-10-10 00:09,4.360105,52.008202,4.350481,52.014544,A=4,300,600,44835816,4892710085,A,
2017-10-10 00:09,4.340968,51.995615,4.342439,51.993400,A=3,300,600,44779311,44769389,A,
