revealing,pickup_x,pickup_y,dropoff_x,dropoff_y,order,pickup_lateness,delivery_lateness,pk_node_id,dl_node_id,sl_class,id
2017-10-10 00:03:03,4.363380,52.007487,4.348890,52.003614,A=2,300,600,1413911023,44813588,A,
2017-10-10 00:02:40,4.351443,52.005417,4.351745,52.016792,A=1,300,600,44821572,3905428979,A,
2017-10-10 00:08:56,4.366690,52.006315,4.350962,52.015682,A=1,300,600,1330102325,4846026455,B,
2017-10-10 00:06:23,4.362566,52.009313,4.355817,51.994728,A=1,300,600,44840845,1393024905,B,
2017-10-10 00:05:07,4.349722,52.002851,4.339087,51.999113,A=1,300,600,44811247,1552650110,B,
2017-10-10 00:06:50,4.354232,52.024019,4.366988,51.996430,A=5,300,600,44902395,44782877,B,
2017-10-10 00:00:55,4.367601,51.982262,4.351148,51.994485,A=5,300,600,1570983068,1571088337,B,
2017-10-10 00:06:29,4.357384,52.014459,4.354748,51.996812,A=4,300,600,1530303716,626009978,B,
2017-10-10 00:06:28,4.389330,51.990235,4.372808,51.981852,A=1,300,600,736761133,1433962853,C,
2017-10-10 00:08:43,4.338453,52.001266,4.348804,51.981632,A=1,300,600,1552651321,1565880791,C,
